State,State Code,ACF Official
Alabama,AL,0.88
Alaska,AK,1.95
Arizona,AZ,0.85
Arkansas,AR,0.74
California,CA,1.23
Colorado,CO,0.99
Connecticut,CT,1.15
Delaware,DE,1.15
Washington DC,DC,1.08
Florida,FL,0.86
Georgia,GA,0.87
Hawaii,HI,2.33
Idaho,ID,1
Illinois,IL,1.07
Indiana,IN,0.98
Iowa,IA,1.02
Kansas,KS,0.89
Kentucky,KY,0.86
Louisiana,LA,0.84
Maine,ME,0.99
Maryland,MD,1.03
Massachusetts,MA,1.24
Michigan,MI,0.99
Minnesota,MN,1.09
Mississippi,MS,0.71
Missouri,MO,1
Montana,MT,1.12
Nebraska,NE,0.92
Nevada,NV,1.16
New Hampshire,NH,1.07
New Jersey,NJ,1.26
New Mexico,NM,0.92
New York,NY,1.08
North Carolina,NC,0.91
North Dakota,ND,1.11
Ohio,OH,0.94
Oklahoma,OK,0.83
Oregon,OR,1.16
Pennsylvania,PA,1.16
Rhode Island,RI,1.23
South Carolina,SC,0.88
South Dakota,SD,0.97
Tennessee,TN,0.86
Texas,TX,0.88
Utah,UT,1.07
Vermont,VT,1.01
Virginia,VA,0.82
Washington,WA,1.11
West Virginia,WV,1.05
Wisconsin,WI,1.14
Wyoming,WY,1
