,name,latitude (deg),longitude (deg),area cost factor
0,Snohomish County,-121.4523,47.821,1.0
1,state,-117.159,35.1201,1.0
2,Warren County,-78.2577,38.7911,0.81
3,Sumter County,-82.1925,28.7087,0.57
4,Palm Beach County,-80.5637,26.6771,0.57
5,Midland County,-84.5544,43.5742,0.71
6,Cass County,-85.9099,42.0623,0.71
7,Cass County,-86.2597,40.7294,0.71
8,Hamilton County,-86.101,39.9424,0.71
9,Lawrence County,-86.3479,38.8707,0.71
10,McLean County,-87.2203,37.4915,0.57
11,Jessamine County,-84.5193,37.8305,0.57
12,state,-116.7176,33.0317,1.0
13,Knott County,-82.8504,37.371,0.57
14,Cuyahoga County,-81.8394,41.2817,0.71
15,Delaware County,-82.8186,40.1773,0.71
16,Greene County,-83.9414,39.7894,0.71
17,Clermont County,-84.2315,39.2088,0.71
18,Allegheny County,-79.8664,40.3773,0.81
19,Upshur County,-80.1944,38.8764,0.81
20,Boone County,-81.752,38.0526,0.81
21,Wythe County,-80.9201,37.0628,0.81
22,Clinton County,-78.0114,41.3406,0.81
23,Lander County,-116.7842,39.5988,0.62
24,Franklin County,-77.8954,39.9067,0.81
25,Allegany County,-79.0195,39.5513,0.81
26,Centre County,-77.3961,40.9211,0.81
27,Anne Arundel County,-76.7637,39.0773,0.81
28,Accomack County,-75.6049,37.8118,0.81
29,Kent County,-75.5328,39.0428,0.81
30,Mercer County,-74.663,40.2475,0.81
31,Madison County,-75.5768,43.0126,0.81
32,Suffolk County,-73.2586,40.8029,0.81
33,Orange County,-72.666,44.0304,0.88
34,Clark County,-115.0174,36.2328,0.62
35,Grafton County,-71.5623,43.714,0.88
36,Worcester County,-71.9053,42.313,0.88
37,Hartford County,-72.7511,41.6025,0.88
38,Kent County,-71.5967,41.6667,0.88
39,Piscataquis County,-69.2479,45.3921,0.88
40,Kootenai County,-116.6295,47.6482,0.66
41,Custer County,-115.2177,44.43,0.66
42,Bingham County,-112.4328,43.0287,0.66
43,Missoula County,-113.6065,46.8214,0.66
44,Judith Basin County,-110.2231,47.2495,0.66
45,Valley County,-106.8433,47.8374,0.66
46,Lewis County,-121.4946,46.6087,1.0
47,Musselshell County,-108.0132,46.4466,0.66
48,Fremont County,-109.2779,43.0439,0.66
49,Johnson County,-106.7112,44.3249,0.66
50,Crook County,-105.0388,44.2489,0.66
51,Albany County,-105.8451,42.2232,0.66
