Set parameter TokenServer to value "license-1.hpc.nrel.gov"
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 0.001
Set parameter MIPGap to value 0.001
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 36 physical cores, 36 logical processors, using up to 32 threads
Optimize a model with 288636 rows, 1198496 columns and 2444160 nonzeros
Model fingerprint: 0xae864d2d
Variable types: 1184560 continuous, 13936 integer (13936 binary)
Coefficient statistics:
  Matrix range     [3e-06, 7e+03]
  Objective range  [1e-01, 6e+06]
  Bounds range     [7e+03, 1e+08]
  RHS range        [1e-03, 2e+05]
Presolve removed 271484 rows and 251116 columns
Presolve time: 3.10s
Presolved: 17152 rows, 947380 columns, 1901192 nonzeros
Variable types: 947112 continuous, 268 integer (268 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.0651775e+09   8.455220e+05   7.001499e+11      7s
  168673    2.0966402e+09   0.000000e+00   9.625816e+06     10s
  199775    2.0938040e+09   0.000000e+00   0.000000e+00     11s
Concurrent spin time: 0.35s

Solved with primal simplex

Root relaxation: objective 2.093804e+09, 199775 iterations, 7.04 seconds (6.38 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2.0938e+09    0   16          - 2.0938e+09      -     -   12s
H    0     0                    2.169223e+09 2.0938e+09  3.48%     -   13s
     0     0 2.0940e+09    0   17 2.1692e+09 2.0940e+09  3.47%     -   19s
     0     0 2.0940e+09    0   17 2.1692e+09 2.0940e+09  3.47%     -   22s
     0     0 2.0940e+09    0   17 2.1692e+09 2.0940e+09  3.47%     -   23s
     0     0 2.0940e+09    0   15 2.1692e+09 2.0940e+09  3.47%     -   25s
H    0     0                    2.163437e+09 2.0940e+09  3.21%     -   29s
     0     0 2.0941e+09    0   16 2.1634e+09 2.0941e+09  3.21%     -   29s
     0     0 2.0941e+09    0   16 2.1634e+09 2.0941e+09  3.21%     -   30s
     0     0 2.0941e+09    0   13 2.1634e+09 2.0941e+09  3.21%     -   31s
H    0     0                    2.138852e+09 2.0941e+09  2.09%     -   34s
     0     0 2.0941e+09    0   14 2.1389e+09 2.0941e+09  2.09%     -   35s
     0     0 2.0941e+09    0   14 2.1389e+09 2.0941e+09  2.09%     -   35s
     0     0 2.0941e+09    0   15 2.1389e+09 2.0941e+09  2.09%     -   37s
H    0     0                    2.130448e+09 2.0941e+09  1.71%     -   40s
     0     0 2.0941e+09    0   16 2.1304e+09 2.0941e+09  1.71%     -   40s
     0     0 2.0941e+09    0   14 2.1304e+09 2.0941e+09  1.71%     -   41s
     0     0 2.0941e+09    0   10 2.1304e+09 2.0941e+09  1.71%     -   42s
H    0     0                    2.114239e+09 2.0941e+09  0.95%     -   45s
     0     0 2.0941e+09    0   10 2.1142e+09 2.0941e+09  0.95%     -   45s
